yyyymm,CI_先行指数,CI_一致指数,CI_遅行指数,DI_先行指数,DI_一致指数,DI_遅行指数
201304,115.6,111.3,96.2,100.0,90.0,44.4
201305,117.5,112.8,97.0,100.0,100.0,55.6
201306,116.0,112.5,97.5,81.8,85.0,55.6
201307,116.9,113.5,98.4,81.8,75.0,55.6
201308,117.1,114.6,98.6,72.7,70.0,61.1
201309,118.7,115.3,99.1,95.5,80.0,77.8
201310,118.8,116.0,99.5,81.8,80.0,88.9
201311,120.4,117.1,100.4,100.0,90.0,77.8
201312,119.5,117.1,101.3,81.8,80.0,77.8
201401,119.8,118.6,102.5,72.7,80.0,100.0
201402,116.3,118.4,102.7,27.3,45.0,66.7
201403,115.1,120.4,103.3,36.4,75.0,61.1
201404,112.6,116.3,103.4,9.1,30.0,38.9
201405,111.5,116.8,105.5,18.2,20.0,77.8
201406,111.4,115.6,105.5,27.3,30.0,61.1
201407,113.0,116.2,105.7,45.5,90.0,83.3
201408,112.7,115.4,105.2,72.7,50.0,44.4
201409,113.2,116.9,105.4,59.1,90.0,44.4
201410,112.1,116.6,105.3,36.4,70.0,33.3
201411,112.5,116.0,105.3,63.6,70.0,44.4
201412,112.4,116.2,104.9,54.5,30.0,38.9
201501,112.0,118.2,105.1,63.6,80.0,66.7
201502,112.1,116.7,105.2,54.5,50.0,38.9
201503,112.3,116.0,104.8,54.5,40.0,55.6
201504,113.5,117.2,105.2,63.6,50.0,55.6
201505,114.6,116.4,104.9,81.8,50.0,55.6
201506,114.1,117.2,104.4,100.0,75.0,50.0
201507,112.6,117.0,104.8,54.5,40.0,44.4
201508,111.9,116.1,104.5,40.9,40.0,33.3
201509,110.5,117.0,105.1,31.8,50.0,55.6
201510,111.0,116.7,105.1,54.5,45.0,33.3
201511,109.9,116.0,105.2,36.4,50.0,66.7
201512,108.3,115.1,105.0,36.4,10.0,55.6
201601,108.3,116.5,104.7,45.5,30.0,61.1
201602,106.8,115.4,104.8,27.3,40.0,50.0
201603,106.9,115.7,104.5,45.5,70.0,55.6
201604,106.9,115.4,104.4,54.5,20.0,55.6
201605,107.0,115.1,103.6,72.7,30.0,22.2
201606,107.1,115.4,104.4,63.6,50.0,44.4
201607,107.4,115.9,104.4,59.1,80.0,66.7
201608,107.3,116.2,104.5,36.4,80.0,77.8
201609,107.4,116.7,105.0,63.6,90.0,72.2
201610,108.5,117.4,105.1,81.8,95.0,88.9
201611,109.9,119.1,105.4,72.7,90.0,77.8
201612,111.9,119.2,105.9,81.8,100.0,77.8
201701,112.3,118.7,106.3,90.9,70.0,77.8
201702,112.1,119.4,106.9,72.7,50.0,88.9
201703,112.6,119.5,107.6,63.6,50.0,88.9
201704,112.3,120.7,108.0,50.0,70.0,66.7
201705,112.0,120.6,107.9,72.7,60.0,66.7
201706,112.8,121.1,108.0,54.5,90.0,55.6
201707,112.8,120.4,107.7,54.5,50.0,55.6
201708,113.9,122.0,108.4,86.4,80.0,55.6
201709,113.5,121.0,108.9,63.6,50.0,77.8
201710,113.3,121.2,109.9,63.6,70.0,94.4
201711,114.6,122.8,110.1,68.2,80.0,100.0
201712,113.7,124.2,110.5,45.5,100.0,88.9
201801,112.9,122.3,110.0,45.5,50.0,50.0
201802,113.0,122.0,110.5,36.4,30.0,72.2
201803,112.0,122.4,110.4,18.2,30.0,61.1
201804,113.3,122.8,110.2,50.0,65.0,55.6
201805,113.6,122.7,110.9,72.7,80.0,55.6
201806,112.3,122.3,110.8,59.1,60.0,55.6
201807,111.3,121.6,110.0,4.5,25.0,33.3
201808,111.6,121.9,110.5,27.3,30.0,38.9
201809,111.0,119.8,109.8,27.3,20.0,55.6
201810,110.8,121.7,109.6,36.4,85.0,55.6
201811,110.4,119.9,109.9,36.4,25.0,50.0
201812,108.8,119.0,109.3,27.3,50.0,50.0
201901,108.2,117.4,110.1,27.3,25.0,61.1
201902,109.0,119.5,110.4,36.4,25.0,66.7
201903,108.2,119.3,109.8,50.0,40.0,66.7
201904,107.6,118.7,110.2,45.5,65.0,55.6
201905,107.2,119.0,110.8,27.3,60.0,77.8
201906,105.9,116.5,110.4,9.1,25.0,66.7
201907,105.2,116.5,110.5,0.0,60.0,66.7
201908,104.2,116.1,110.4,18.2,30.0,44.4
201909,103.7,117.5,110.2,27.3,50.0,55.6
201910,102.9,112.2,108.9,18.2,5.0,22.2
201911,102.6,111.5,108.8,36.4,0.0,16.7
201912,103.6,111.5,108.3,45.5,10.0,33.3
202001,102.2,110.4,107.6,36.4,50.0,55.6
202002,104.1,108.8,107.1,54.5,50.0,33.3
202003,95.7,106.1,106.1,18.2,0.0,11.1
202004,88.2,94.4,102.3,9.1,0.0,11.1
202005,88.8,87.1,98.1,9.1,0.0,5.6
202006,93.9,89.9,97.7,18.2,10.0,22.2
202007,97.4,95.2,97.3,72.7,80.0,44.4
202008,100.0,96.8,97.0,100.0,80.0,55.6
202009,104.6,99.6,97.1,90.9,70.0,44.4
202010,106.4,103.5,96.7,90.9,90.0,33.3
202011,109.1,104.0,96.6,100.0,95.0,44.4
202012,109.6,104.1,96.4,72.7,80.0,33.3
202101,110.9,106.9,97.0,90.9,90.0,50.0
202102,112.4,106.3,97.1,81.8,65.0,72.2
202103,115.2,108.9,99.4,90.9,100.0,100.0
202104,115.1,111.1,99.5,63.6,75.0,88.9
202105,115.8,109.6,99.7,72.7,50.0,88.9
202106,116.9,110.1,100.1,72.7,50.0,55.6
202107,117.1,109.6,100.8,72.7,40.0,61.1
202108,114.8,107.0,99.7,54.5,10.0,55.6
202109,113.2,105.0,99.3,45.5,10.0,33.3
202110,113.9,106.9,99.3,36.4,20.0,33.3
202111,115.9,111.6,99.7,45.5,90.0,44.4
202112,116.5,111.5,100.5,72.7,90.0,72.2
202201,114.9,111.1,99.7,54.5,90.0,66.7
202202,113.8,111.8,100.4,36.4,30.0,77.8
202203,114.1,112.1,100.6,36.4,40.0,55.6
202204,114.7,112.2,101.7,45.5,80.0,61.1
202205,113.6,111.6,101.1,36.4,60.0,55.6
202206,113.4,113.3,102.4,45.5,60.0,55.6
202207,112.6,113.8,102.5,31.8,50.0,66.7
